Player,School,Year,Pick,Pos,G,MP,FGA,FG%,2P%,3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,NBA-PPG
Kentavious Caldwell-Pope,Georgia,2013,8,SG,64,33,12.7,0.415,0.504,0.339,0.752,15.8,7.02,0.543,0.507,0.539,0.307,5.8,5.9
Trey Burke,Michigan,2013,9,PG,73,35.7,13.3,0.45,0.499,0.367,0.777,16.9,9.51,0.556,0.519,0.374,0.3,9.7,12.8
C.J. McCollum,Lehigh,2013,10,SG,111,32.9,15.7,0.439,0.47,0.377,0.825,21.3,-5.41,0.563,0.501,0.33,0.423,13.9,5.3
Michael Carter-Williams,Syracuse,2013,11,PG,66,25.4,6.8,0.398,0.438,0.307,0.679,8.2,8.29,0.493,0.445,0.303,0.462,3.3,16.7
Steven Adams,Pitt,2013,12,C,32,23.4,5.5,0.571,0.571,0,0.443,7.2,5.63,0.555,0.571,0,0.4,1.6,3.3
Kelly Olynyk,Gonzaga,2013,13,C,101,17.2,5.6,0.594,0.634,0.333,0.709,8.9,4,0.641,0.616,0.132,0.501,6.7,8.7
Shabazz Muhammad,UCLA,2013,14,SG,32,30.8,14.3,0.443,0.463,0.377,0.711,17.9,7.82,0.528,0.487,0.232,0.395,2.9,3.9
Shane Larkin,Miami (FL),2013,15,PG,68,31.3,8.6,0.438,0.491,0.375,0.808,11.2,7.03,0.566,0.524,0.46,0.311,5.1,2.8
Tony Snell,New Mexico,2013,16,SG,104,24.8,7.1,0.421,0.48,0.38,0.821,9.2,4.95,0.571,0.533,0.588,0.272,5.1,4.5
Gorgui Dieng,Louisville,2013,17,C,102,27.3,6.1,0.545,0.546,0.333,0.64,8.3,8.78,0.568,0.546,0.005,0.439,5.4,4.8
Mason Plumlee,Duke,2013,18,C,141,25.9,6.5,0.574,0.578,0.2,0.583,9.8,8.87,0.584,0.575,0.011,0.622,8.3,7.4
Solomon Hill,Arizona,2013,19,SF,139,29,7.3,0.481,0.528,0.375,0.745,10.3,7.05,0.582,0.538,0.303,0.453,9,1.7
Tim Hardaway Jr.,Michigan,2013,20,SG,107,33.3,11.6,0.425,0.5,0.343,0.724,14.3,9.9,0.539,0.507,0.475,0.308,8,10.2
Reggie Bullock,UNC,2013,21,SF,100,24.6,8.2,0.439,0.517,0.387,0.72,9.9,8.41,0.568,0.555,0.596,0.145,6.8,2.7
Andre Roberson,Colorado,2013,22,SG,105,28.3,7.1,0.516,0.555,0.35,0.582,9.6,6.43,0.561,0.549,0.193,0.459,6.2,1.9
Archie Goodwin,Kentucky,2013,23,SG,33,31.8,10.8,0.44,0.478,0.266,0.637,14.1,5.78,0.509,0.464,0.179,0.594,1.6,3.7
Andrew Wiggins,Kansas,2014,1,SF,35,32.8,12.1,0.448,0.493,0.341,0.775,17.1,11.4,0.563,0.499,0.299,0.538,3.2,16.9
Jabari Parker,Duke,2014,2,PF,35,30.7,14.3,0.473,0.504,0.358,0.748,19.1,8.48,0.558,0.511,0.212,0.429,3.6,12.3
Joel Embiid,Kansas,2014,3,C,28,23.1,6.1,0.626,0.639,0.2,0.685,11.2,11.4,0.655,0.629,0.029,0.836,1.8,20.2
Aaron Gordon,Arizona,2014,4,PF,38,31.2,10.1,0.495,0.513,0.356,0.422,12.4,9.04,0.503,0.516,0.118,0.471,2.1,5.2
Marcus Smart,Oklahoma State,2014,5,PG,64,33.1,11.9,0.413,0.488,0.295,0.751,16.6,7.53,0.542,0.47,0.388,0.612,5.6,7.8
Julius Randle,Kentucky,2014,6,PF,40,30.8,9.8,0.501,0.517,0.167,0.706,15,9.89,0.567,0.505,0.046,0.739,3.5,2
Nik Stauskas,Michigan,2014,7,SG,75,32.9,9.2,0.467,0.5,0.441,0.832,14.1,9.85,0.638,0.591,0.564,0.421,8.5,4.4
Noah Vonleh,Indiana,2014,8,PF,30,26.5,7.2,0.523,0.53,0.485,0.716,11.3,6.64,0.604,0.56,0.153,0.62,1.6,3.3
Elfrid Payton,Louisiana,2014,9,PG,100,31.6,10.3,0.485,0.512,0.268,0.611,14.3,-1.6,0.533,0.5,0.109,0.625,6.1,8.9
Doug McDermott,Creighton,2014,10,SF,145,31.5,14.3,0.55,0.587,0.458,0.831,21.7,4.29,0.652,0.616,0.288,0.345,21.6,3
Zach LaVine,UCLA,2014,11,PG,37,24.4,7.8,0.441,0.494,0.375,0.691,9.4,7.62,0.545,0.524,0.444,0.236,1.4,10.1
T.J. Warren,NC State,2014,12,SF,70,31.2,13.6,0.555,0.598,0.315,0.654,18.5,7.31,0.593,0.579,0.15,0.313,8.1,6.1
Adreian Payne,Michigan State,2014,13,PF,138,20,6.2,0.526,0.551,0.409,0.755,8.9,10.35,0.601,0.562,0.175,0.432,7,6.7
James Young,Kentucky,2014,14,SG,40,32.4,11.3,0.407,0.47,0.349,0.706,14.3,9.89,0.536,0.498,0.522,0.393,3,3.4
Tyler Ennis,Syracuse,2014,15,PG,34,35.7,10.6,0.411,0.429,0.353,0.765,12.9,7.25,0.511,0.453,0.236,0.414,3.2,3.7
Gary Harris,Michigan State,2014,16,SG,69,31,11.4,0.44,0.503,0.376,0.788,14.9,9.96,0.571,0.533,0.495,0.306,6.2,3.4
Mitch McGary,Michigan,2014,17,PF,47,20.6,5.9,0.588,0.592,0,0.513,7.8,9.85,0.582,0.588,0.007,0.272,2.6,6.3
Jordan Adams,UCLA,2014,18,SG,69,30.2,11.6,0.467,0.548,0.331,0.839,16.4,7.72,0.589,0.529,0.371,0.429,7.4,3.1
Rodney Hood,Duke,2014,19,SG,67,32.8,10.4,0.455,0.499,0.396,0.773,13.3,6.67,0.569,0.539,0.426,0.252,5.8,8.7
Shabazz Napier,UConn,2014,20,PG,143,32.3,10.1,0.411,0.444,0.375,0.813,13.7,8.64,0.562,0.501,0.479,0.433,12.8,5.1
P.J. Hairston,UNC,2014,21,SG,71,18.1,8,0.388,0.458,0.349,0.8,10,7.54,0.544,0.5,0.642,0.309,4.3,5.6
C.J. Wilcox,Washington,2014,22,SG,131,28.5,11.3,0.433,0.481,0.389,0.84,14.4,6.67,0.571,0.535,0.523,0.241,11.7,2
Josh Huestis,Stanford,2014,23,PF,135,25,6.4,0.451,0.492,0.319,0.61,7.5,6.38,0.509,0.489,0.238,0.318,5.5,2.8
Kyle Anderson,UCLA,2014,24,SF,71,31.6,9.4,0.452,0.465,0.375,0.736,12.2,7.72,0.531,0.479,0.143,0.452,4.6,2.2
Karl-Anthony Towns,Kentucky,2015,1,C,39,21.1,6.6,0.566,0.577,0.25,0.813,10.3,8.67,0.627,0.57,0.031,0.523,3.5,18.3
D'Angelo Russell,Ohio State,2015,2,PG,35,33.9,14.7,0.449,0.479,0.411,0.756,19.3,7.37,0.573,0.541,0.449,0.303,4.4,13.2
Jahlil Okafor,Duke,2015,3,C,38,30.1,11.1,0.664,0.664,0,0.51,17.3,9.87,0.641,0.664,0,0.462,4.5,17.5
Willie Cauley-Stein,Kentucky,2015,4,C,105,24.5,5.6,0.593,0.593,0,0.508,8,8.12,0.582,0.593,0,0.509,5.7,7
Stanley Johnson,Arizona,2015,5,SF,38,28.4,10.3,0.446,0.478,0.371,0.742,13.8,7.41,0.551,0.501,0.297,0.456,2.8,8.1
Frank Kaminsky,Wisconsin,2015,6,C,144,20.4,7,0.522,0.58,0.369,0.763,10.1,9.61,0.609,0.573,0.275,0.384,12.8,7.5
Justise Winslow,Duke,2015,7,SF,39,29.1,9.1,0.486,0.516,0.418,0.641,12.6,9.87,0.572,0.551,0.309,0.438,3.1,6.4
Myles Turner,Texas,2015,8,C,34,22.2,7.6,0.455,0.513,0.274,0.839,10.1,9.07,0.556,0.488,0.241,0.436,1.9,10.3
Trey Lyles,Kentucky,2015,9,PF,36,23,6.7,0.488,0.536,0.138,0.735,8.7,8.67,0.543,0.496,0.121,0.425,2.1,6.1
Devin Booker,Kentucky,2015,10,SG,38,21.5,7.6,0.47,0.527,0.411,0.828,10,8.67,0.6,0.571,0.491,0.223,2.7,13.8
Cameron Payne,Murray State,2015,11,PG,69,32.4,14.6,0.432,0.487,0.359,0.781,18.5,-3.19,0.551,0.509,0.431,0.322,8,5
Kelly Oubre,Kansas,2015,12,SF,36,21,6.9,0.444,0.497,0.358,0.718,9.3,12.13,0.555,0.512,0.383,0.444,1.7,3.7
Terry Rozier,Louisville,2015,13,PG,73,26.8,10.3,0.408,0.447,0.331,0.772,12,6.89,0.507,0.463,0.337,0.303,4.5,1.8
Rashad Vaughn,UNLV,2015,14,SG,23,32.3,14.3,0.439,0.481,0.383,0.694,17.8,3.38,0.547,0.521,0.43,0.299,1.4,3.1
Sam Dekker,Wisconsin,2015,15,SF,113,27.9,9,0.493,0.591,0.348,0.695,12.1,10.07,0.585,0.563,0.403,0.317,10.6,0
Jerian Grant,Notre Dame,2015,16,PG,119,36.4,10.7,0.436,0.498,0.345,0.79,14.6,6.88,0.563,0.506,0.407,0.444,13.9,5.6
Delon Wright,Utah,2015,17,PG,68,34.8,9.3,0.535,0.594,0.299,0.814,15,6.82,0.629,0.565,0.2,0.593,9.5,3.8
Justin Anderson,Virginia,2015,18,SF,98,24.1,6.8,0.43,0.481,0.357,0.752,8.9,6.64,0.549,0.503,0.407,0.398,5.2,3.8
Bobby Portis,Arkansas,2015,19,PF,70,28.5,11.2,0.526,0.54,0.365,0.737,15,6.18,0.574,0.54,0.081,0.35,6.6,7
Rondae Hollis-Jefferson,Arizona,2015,20,SF,76,27,6.9,0.496,0.52,0.205,0.697,10.2,8.23,0.56,0.504,0.075,0.682,5.3,5.8
Tyus Jones,Duke,2015,21,PG,39,33.9,8.3,0.417,0.44,0.379,0.889,11.8,9.87,0.575,0.489,0.383,0.5,4.4,4.2
Jarell Martin,LSU,2015,22,PF,65,30.7,10.1,0.494,0.541,0.308,0.689,13.7,6.12,0.56,0.525,0.203,0.448,3.9,5.7
Larry Nance Jr.,Wyoming,2015,23,PF,123,29.5,8,0.521,0.551,0.308,0.771,11.3,2.08,0.587,0.54,0.12,0.438,8.4,5.5
R.J. Hunter,Georgia State,2015,24,SG,99,34.7,13.3,0.423,0.505,0.354,0.853,18.4,-2.33,0.579,0.519,0.541,0.397,12,2.7
Chris McCullough,Syracuse,2015,25,PF,16,28.1,7.1,0.478,0.473,1,0.563,9.3,7.68,0.508,0.482,0.009,0.628,0.3,4.7
Kevon Looney,UCLA,2015,26,PF,36,30.9,8.9,0.47,0.481,0.415,0.626,11.6,8.27,0.532,0.505,0.165,0.458,2.8,1.8
Ben Simmons,LSU,2016,1,PG,33,34.9,11.7,0.56,0.561,0.333,0.67,19.2,7,0.6,0.561,0.008,0.769,3.9,15.8
Brandon Ingram,Duke,2016,2,SF,36,34.6,13.4,0.442,0.464,0.41,0.682,17.3,10.59,0.552,0.525,0.403,0.351,3.4,9.2
Jaylen Brown,California,2016,3,SF,34,27.6,11.1,0.431,0.482,0.294,0.654,14.6,7.87,0.518,0.471,0.27,0.574,1,6.6
Kris Dunn,Providence,2016,4,PG,95,31.5,9.9,0.45,0.476,0.354,0.693,12.8,8.09,0.531,0.488,0.218,0.449,5,3.8
Buddy Hield,Oklahoma,2016,5,SG,132,31.7,13.2,0.448,0.508,0.39,0.836,17.4,9.28,0.584,0.548,0.511,0.257,12.2,10.1
Jamal Murray,Kentucky,2016,6,SG,36,35.2,14.9,0.454,0.502,0.408,0.783,20,8.84,0.59,0.559,0.515,0.283,4.4,9.5
Marquese Chriss,Washington,2016,7,PF,34,24.9,9.9,0.53,0.568,0.35,0.682,13.7,8.12,0.585,0.561,0.178,0.382,1.9,9.1
Jakob Poeltl,Utah,2016,8,C,70,26.9,7.7,0.658,0.659,0,0.605,13.3,8.1,0.653,0.658,0.002,0.669,7,2.9
Domantas Sabonis,Gonzaga,2016,9,PF,74,26.6,8.2,0.632,0.638,0.357,0.729,13.5,4.67,0.662,0.636,0.023,0.516,7.5,5.9
Taurean Waller-Prince,Baylor,2016,10,SF,129,20.2,7.9,0.46,0.504,0.376,0.718,10.2,9.08,0.557,0.524,0.34,0.349,6.2,5.3
Denzel Valentine,Michigan State,2016,11,SG,144,29,9.1,0.442,0.476,0.408,0.779,11.4,9.21,0.569,0.544,0.497,0.218,10.9,5.3
Wade Baldwin,Vanderbilt,2016,12,PG,68,29.6,8,0.431,0.436,0.422,0.8,11.6,7.45,0.578,0.508,0.366,0.552,5.3,2.9
Henry Ellenson,Marquette,2016,13,PF,33,33.5,13.2,0.446,0.495,0.288,0.749,17,5.57,0.534,0.48,0.239,0.439,2,1.4
Malik Beasley,Florida State,2016,14,SG,34,29.8,11.6,0.471,0.518,0.387,0.813,15.6,8.16,0.583,0.541,0.361,0.326,2.9,2.6
Caris LeVert,Michigan,2016,15,SF,103,26.4,8.2,0.434,0.456,0.401,0.77,10.4,9.3,0.552,0.514,0.396,0.314,6.3,7.7
DeAndre' Bembry,St. Joseph's,2016,16,SF,101,36.1,12.6,0.457,0.52,0.312,0.628,15.7,4.2,0.528,0.504,0.303,0.389,6.4,2.5
Malachi Richardson,Syracuse,2016,17,SG,37,34.4,11.1,0.369,0.388,0.353,0.72,13.4,9.75,0.51,0.465,0.544,0.381,1.5,3.6
Brice Johnson,UNC,2016,18,PF,148,21,8.6,0.577,0.577,0,0.715,11.9,9.72,0.601,0.577,0,0.328,10.4,1
Pascal Siakam,New Mexico State,2016,19,PF,68,32.7,11.8,0.551,0.559,0.176,0.711,16.6,-3.6,0.586,0.553,0.021,0.424,7.9,4.1
Skal Labissiere,Kentucky,2016,20,PF,36,15.8,5.3,0.516,0.521,0,0.661,6.6,8.84,0.54,0.516,0.011,0.326,0.9,7.8
Dejounte Murray,Washington,2016,21,PG,34,33.5,14.3,0.416,0.457,0.288,0.663,16.1,8.12,0.485,0.451,0.243,0.342,1.2,3.5
Damian Jones,Vanderbilt,2016,22,C,99,27.1,9.1,0.566,0.57,0.125,0.565,13.3,7.13,0.573,0.567,0.009,0.584,5.2,1.7
Markelle Fultz,Washington,2017,1,SG,25,35.7,17.6,0.476,0.502,0.413,0.649,23.2,6.82,0.558,0.535,0.287,0.383,3.3,7.1
Lonzo Ball,UCLA,2017,2,PG,36,35.1,9.5,0.551,0.732,0.412,0.673,14.6,6.39,0.673,0.668,0.566,0.286,4.8,10.2
Jayson Tatum,Duke,2017,3,SF,29,33.3,12.6,0.452,0.504,0.342,0.849,16.8,10.91,0.566,0.507,0.321,0.381,2.3,13.9
Josh Jackson,Kansas,2017,4,SF,35,30.8,12.3,0.513,0.549,0.378,0.566,16.3,12.23,0.559,0.552,0.21,0.403,2.7,13.1
De'Aaron Fox,Kentucky,2017,5,PG,36,29.6,12.4,0.479,0.521,0.246,0.736,16.7,10.49,0.549,0.498,0.154,0.474,3.1,11.6
Jonathan Isaac,Florida State,2017,6,PF,32,26.2,8,0.508,0.593,0.348,0.78,12,8.87,0.614,0.568,0.348,0.461,2.4,5.4
Lauri Markkanen,Arizona,2017,7,PF,37,30.8,10.2,0.492,0.545,0.423,0.835,15.6,7.63,0.635,0.584,0.434,0.436,4.8,15.2
Dennis Smith,NC State,2017,8,PG,32,34.8,13.1,0.455,0.509,0.359,0.715,18.1,8.09,0.563,0.52,0.364,0.476,3.1,15.2
Zach Collins,Gonzaga,2017,9,C,39,17.3,5.3,0.652,0.672,0.476,0.743,10,4.13,0.703,0.676,0.101,0.715,2.6,4.4
Malik Monk,Kentucky,2017,10,SG,38,32.1,14.7,0.45,0.497,0.397,0.822,19.8,10.49,0.586,0.543,0.47,0.323,3.9,6.7
Luke Kennard,Duke,2017,11,SG,73,31.2,11.2,0.461,0.526,0.383,0.867,15.7,10.75,0.6,0.548,0.455,0.349,8.4,7.6
Donovan Mitchell,Louisville,2017,12,SG,65,26,9.8,0.418,0.497,0.329,0.788,11.7,9.44,0.532,0.495,0.47,0.26,4.4,20.5
Bam Adebayo,Kentucky,2017,13,C,38,30.1,7.5,0.599,0.599,0,0.653,13,10.49,0.624,0.599,0,0.831,3.3,6.9
Justin Jackson,UNC,2017,14,SF,118,29.1,11.5,0.46,0.531,0.34,0.712,14,11.4,0.546,0.523,0.37,0.241,10,6.7
Justin Patton,Creighton,2017,15,C,35,25.3,8.5,0.676,0.683,0.533,0.517,12.9,8.95,0.671,0.689,0.051,0.294,2.5,2
D.J. Wilson,Michigan,2017,16,PF,69,19.4,5.3,0.525,0.619,0.363,0.817,7.1,9.23,0.614,0.592,0.369,0.194,3.4,1
T.J. Leaf,UCLA,2017,17,PF,35,29.9,10.9,0.617,0.644,0.466,0.679,16.3,6.39,0.66,0.652,0.152,0.278,4.2,2.9
John Collins,Wake Forest,2017,18,PF,64,20.7,8.2,0.601,0.602,0,0.729,13.4,10.16,0.638,0.601,0.002,0.599,5.7,10.5
Harry Giles,Duke,2017,19,PF,26,11.5,3,0.577,0.577,0,0.5,3.9,10.91,0.57,0.577,0,0.308,0.6,7
Jarrett Allen,Texas,2017,20,C,33,32.2,9.6,0.566,0.579,0,0.564,13.4,12.75,0.571,0.566,0.022,0.472,1.5,8.2
OG Anunoby,Indiana,2017,21,SF,50,17.4,4.8,0.563,0.652,0.365,0.522,6.8,7.53,0.609,0.62,0.311,0.378,2,5.9
Tyler Lydon,Syracuse,2017,22,PF,71,33.1,8.2,0.476,0.531,0.4,0.809,11.6,9.11,0.602,0.56,0.42,0.358,5.6,0
Caleb Swanigan,Purdue,2017,23,PF,69,29.2,10.2,0.501,0.537,0.376,0.76,14.4,8.12,0.586,0.543,0.223,0.432,4.4,2.3
Kyle Kuzma,Utah,2017,24,PF,96,21,7.7,0.506,0.567,0.302,0.633,10.1,6.84,0.56,0.541,0.23,0.367,4.7,16.1
Tony Bradley,UNC,2017,25,C,38,14.6,4.7,0.573,0.573,0,0.619,7.1,11.76,0.59,0.573,0,0.59,2.1,0.9
Derrick White,Colorado,2017,26,PG,34,32.8,11.9,0.507,0.569,0.396,0.813,18.1,6,0.627,0.578,0.356,0.45,4.5,3.2
Josh Hart,Villanova,2017,27,SG,146,28,9.1,0.511,0.592,0.389,0.72,13.2,8.51,0.614,0.589,0.401,0.377,14.4,7.9
DeAndre Ayton,Arizona,2018,1,C,35,33.5,12.9,0.612,0.635,0.343,0.733,20.1,6.84,0.65,0.625,0.078,0.424,5.5,16.3
Marvin Bagley,Duke,2018,2,PF,33,33.9,13.3,0.614,0.647,0.397,0.627,21,9.71,0.643,0.64,0.132,0.475,4.8,14.9
Jaren Jackson,Michigan State,2018,3,PF,35,21.8,6.6,0.513,0.596,0.396,0.797,10.9,7.1,0.647,0.595,0.414,0.573,2.3,13.8
Trae Young,Oklahoma,2018,4,PG,32,35.4,19.3,0.422,0.493,0.36,0.861,27.4,10.56,0.585,0.518,0.531,0.443,4.6,19.1
Mohamed Bamba,Texas,2018,5,C,30,30.2,9,0.541,0.603,0.275,0.681,12.9,10.67,0.593,0.567,0.189,0.441,2.4,6.2
Wendell Carter,Duke,2018,6,C,37,26.9,8.6,0.561,0.586,0.413,0.738,13.5,9.71,0.628,0.591,0.144,0.527,3.6,10.3
Collin Sexton,Alabama,2018,7,PG,33,29.9,13.3,0.447,0.495,0.336,0.778,19.2,10.64,0.567,0.498,0.299,0.575,3.2,16.7
Kevin Knox,Kentucky,2018,8,PF,37,32.4,11.9,0.445,0.509,0.341,0.774,15.6,10.73,0.556,0.51,0.38,0.373,2.3,12.8
Mikal Bridges,Villanova,2018,9,SF,116,27.3,7.5,0.525,0.645,0.4,0.845,11.3,9.74,0.656,0.623,0.49,0.304,10.5,8.3
Shai Gilgeous-Alexander,Kentucky,2018,10,PG,37,33.7,10.2,0.485,0.5,0.404,0.817,14.4,10.73,0.578,0.516,0.151,0.464,3.3,10.8
Miles Bridges,Michigan State,2018,11,SF,62,31.6,13.2,0.47,0.537,0.375,0.776,17,8.8,0.576,0.548,0.413,0.245,5.2,7.5
Jerome Robinson,Boston College,2018,12,SG,90,34.6,13.9,0.45,0.488,0.376,0.755,17.7,7.65,0.551,0.514,0.339,0.327,5.1,3.4
Troy Brown,Oregon,2018,14,SF,35,31.2,9.2,0.444,0.524,0.291,0.743,11.3,4.84,0.532,0.494,0.342,0.326,1.5,4.8
Zhaire Smith,Texas Tech,2018,15,SG,37,28.4,7.5,0.556,0.574,0.45,0.717,11.3,9.6,0.618,0.588,0.144,0.458,3.3,6.7
Donte DiVincenzo,Villanova,2018,16,SG,85,25.4,7.6,0.469,0.573,0.378,0.705,10.2,9.74,0.591,0.57,0.533,0.294,5.5,4.9
Lonnie Walker,Miami (FL),2018,17,SG,32,27.8,9.9,0.415,0.487,0.346,0.738,11.5,6.96,0.527,0.503,0.509,0.204,1.6,2.6
Kevin Huerter,Maryland,2018,18,SG,65,31.9,9,0.466,0.572,0.394,0.748,12,8.11,0.603,0.584,0.597,0.217,4.6,9.7
Josh Okogie,Georgia Tech,2018,19,SG,61,33,12.3,0.437,0.454,0.382,0.777,16.9,7.84,0.55,0.481,0.231,0.539,4.4,7.7
Grayson Allen,Duke,2018,20,SG,142,27.9,9.9,0.43,0.49,0.38,0.834,14.1,10.27,0.591,0.533,0.544,0.419,13.9,5.6
Chandler Hutchison,Boise State,2018,21,SF,123,24,8.9,0.476,0.508,0.353,0.687,12,2.57,0.551,0.512,0.204,0.468,6.5,5.2
Aaron Holiday,UCLA,2018,22,PG,101,31.8,10.5,0.45,0.469,0.422,0.795,14.3,7.65,0.58,0.535,0.404,0.37,6.7,5.9
Moritz Wagner,Michigan,2018,23,C,107,21,7.2,0.547,0.643,0.385,0.698,10.4,9.16,0.633,0.618,0.371,0.301,6.4,4.8
Landry Shamet,Wichita State,2018,24,SG,71,28.6,8.7,0.48,0.542,0.437,0.811,12.9,4.22,0.641,0.609,0.59,0.326,7.5,9.1
Robert Williams,Texas A&M,2018,25,C,61,25.7,8.1,0.591,0.624,0.067,0.541,11.1,9.29,0.59,0.593,0.06,0.343,3.5,2.5
Jacob Evans,Cincinnati,2018,26,SG,105,29.1,9.4,0.429,0.476,0.377,0.755,11.7,4.75,0.551,0.518,0.469,0.286,8.2,1.3
Omari Spellman,Villanova,2018,27,PF,40,28.1,8.4,0.476,0.511,0.433,0.7,10.9,10.24,0.588,0.573,0.446,0.208,2.9,5.9
