Player,School,Year,Pick,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Chris Wilcox,Maryland,2002,5,70,27,16.6,3.2,6.2,0.52,3.2,6.1,0.522,0,0,0,1.5,2.6,0.589,1.8,3,4.7,1,0.5,1,1,2,7.9,10.19,,0.536,0.52,0.005,0.418,,,,15.1,11.1,,3.8,12.2,24.3,1.9,3.6,5.5,0.19,,,
Caron Butler,UConn,2002,6,63,62,34.5,6.4,13.8,0.465,5.7,11.9,0.482,0.7,1.9,0.364,4.5,5.9,0.768,3.3,4.3,7.6,3,2.1,0.3,2.7,2.4,18,6.43,,0.544,0.491,0.139,0.426,,,,,,,,13.9,,4.6,4.7,9.4,0.172,,,
Jared Jeffries,Indiana,2002,7,70,70,32.6,5,11.2,0.45,4.5,9.5,0.472,0.6,1.7,0.325,3.8,5.8,0.643,2.4,4.8,7.2,2.2,1.2,1.3,2.9,2.7,14.4,11.56,,0.515,0.475,0.153,0.521,,,,,,,,17.1,,3,6,8.9,0.156,,,
Melvin Ely,Fresno State,2002,8,124,61,32.5,6.4,11,0.577,6.4,11,0.578,0,0,0.333,3,4.6,0.648,2.9,5.3,7.5,1.1,0.8,2.9,2.4,2.3,15.7,4.4,,0.595,0.578,0.002,0.42,,,,,,,,15.6,,11.3,9.8,21.1,0.209,,,
Marcus Haislip,Tennessee,2002,9,89,25,17.1,3.1,5.9,0.53,2.7,4.7,0.568,0.4,1.1,0.373,1.7,2.5,0.705,1.4,2.9,3.4,0.5,0.3,1.3,1.1,2.4,8.4,9.77,,0.596,0.566,0.196,0.422,,,,11.4,0,1.7,7.9,13.1,23.2,4.4,3.1,7.6,0.198,,,
Fred Jones,Oregon,2002,10,125,60,28.2,4.4,9.2,0.481,3.3,5.7,0.568,1.2,3.5,0.338,3.1,3.9,0.805,1.9,3.6,5,2.9,1.2,0.6,2.4,2.5,13.2,8.05,,0.595,0.545,0.378,0.42,,,,,,,,18.1,,9.7,5.7,15.4,0.174,,,
Juan Dixon,Maryland,2002,11,141,72,28.4,5.7,12.1,0.468,4,7.8,0.513,1.7,4.4,0.389,3,3.6,0.85,1.3,3.1,4.2,2.6,2.4,0.2,2.5,2,16.1,9.73,,0.582,0.538,0.359,0.292,,,,7,15.8,,0.4,15.4,26.1,12.2,8.4,20.6,0.206,,,
Curtis Borchardt,Stanford,2002,12,66,29,21.6,3.5,6.6,0.534,3.3,6,0.551,0.2,0.6,0.375,2.9,4.2,0.691,2.8,6,7.2,1.2,0.4,2.2,1.4,2.3,10.2,8.67,,0.592,0.552,0.092,0.631,,,,20,13.6,,6.2,13.7,23.4,3.8,6.6,10.4,0.291,,,
Ryan Humphrey,Notre Dame,2002,13,123,60,30.7,5.3,10.6,0.495,5.2,10.5,0.497,0.1,0.2,0.364,2.7,5,0.536,3.4,6.6,8.4,1.3,0.9,2.3,2.4,2.2,13.3,5.21,,0.51,0.498,0.017,0.472,,,,,,,,14,,4.1,13.7,17.8,0.209,,,
Kareem Rush,Missouri,2002,14,84,60,30.2,6.5,14.7,0.445,3.9,8.3,0.464,2.7,6.4,0.422,3.1,4,0.777,1.7,4.1,5.4,2.1,1.2,0.6,2.8,2.3,18.9,8.07,,0.569,0.537,0.434,0.269,,,,,,,,14.3,,7.9,4.3,12.2,0.193,,,
Carmelo Anthony,Syracuse,2003,1,35,35,36.4,7.9,17.5,0.453,6.3,12.7,0.496,1.6,4.7,0.337,4.8,6.8,0.706,2.9,7.1,10,2.2,1.6,0.9,2.2,2.2,22.2,9.02,,0.537,0.498,0.271,0.389,,,,14,11.9,,1.5,9.6,29.3,2.7,3.1,5.8,0.183,,,
Chris Bosh,Georgia Tech,2003,2,31,31,31,5.4,9.7,0.56,4.7,8.2,0.575,0.7,1.5,0.478,4.1,5.6,0.73,3.1,5.9,9,1.2,1,2.2,2.3,2.4,15.6,7.94,,0.634,0.597,0.153,0.58,,,,,,,,15.8,,3.5,2.9,6.4,0.267,,,
Dwyane Wade,Marquette,2003,3,65,65,30.7,7.3,14.8,0.494,6.8,13.3,0.512,0.5,1.5,0.333,4.6,6.2,0.745,2.2,4.3,6.5,3.9,2.3,1.2,3.1,2.4,19.7,6.03,,0.557,0.511,0.1,0.421,,,,13.6,27.9,,2.9,15,33.6,6,7.3,13.3,0.268,,,
Chris Kaman,Central Michigan,2003,4,83,45,26.3,5.4,8.8,0.608,5.4,8.8,0.608,0,0,0,4.3,6,0.713,2.7,5.8,8.5,0.8,0.5,2.2,3.1,2.8,15.1,1.05,,0.643,0.608,0,0.685,,,,21.2,8.1,,5.8,20.9,28,9.2,3.1,12.3,0.226,,,
Kirk Hinrich,Kansas,2003,5,141,118,29.7,4.4,8.8,0.493,2.7,5,0.542,1.7,3.9,0.43,2,2.6,0.776,0.9,3.3,3.8,4.7,1.5,0.4,2.7,2.7,12.4,9.68,,0.616,0.587,0.438,0.298,,,,5.6,25.3,2.5,2.3,21.1,15.7,11.5,8.5,20,0.191,,,
T.J. Ford,Texas,2003,6,66,66,33,4.3,10.5,0.406,3.9,9,0.436,0.3,1.5,0.228,4,5,0.801,0.7,3.2,3.8,8,2.1,0.1,3.6,2.6,12.9,9.63,,0.5,0.422,0.145,0.478,,,,6.4,44.6,,0.3,21.8,21.7,2,5.3,7.4,0.135,,,
Mike Sweetney,Georgetown,2003,7,96,95,29,6.3,11.6,0.544,6.3,11.6,0.546,0,0,0,5.6,7.7,0.727,3.6,5.6,9.2,1.8,1.1,1.9,2.5,2.3,18.2,4.02,,0.597,0.544,0.004,0.658,,,,17,13.6,,5.4,13.9,28.5,10.4,10.6,21,0.302,,,
Jarvis Hayes,Georgia,2003,8,84,56,31.4,6.8,15,0.457,5,9.9,0.502,1.9,5.1,0.369,2.4,3.1,0.772,1.2,3.6,5,1.5,1.3,0.5,1.7,2.3,18,5.2,,0.546,0.519,0.339,0.209,,,,8,11.2,,0.9,9.5,26.3,6,3.3,9.2,0.14,,,
Nick Collison,Kansas,2003,9,142,130,27.4,6,10.7,0.562,5.9,10.3,0.571,0.2,0.5,0.359,2.5,4,0.624,3,5.4,8,1.8,1.1,1.7,2.4,2.9,14.8,9.68,,0.583,0.57,0.042,0.376,,,,15.1,8.5,2.4,4,16.1,22.6,11,14.2,25.2,0.259,,,
Marcus Banks,UNLV,2003,10,63,63,34.3,6,12.2,0.495,5,9.1,0.551,1,3.1,0.33,5,6.8,0.731,0.8,2.6,3.3,4.3,2.5,0.2,3.6,2.9,18.1,4.77,,0.585,0.537,0.256,0.555,,,,5.7,26.1,,0.3,18.8,26.9,6.4,2.4,8.8,0.164,,,
Luke Ridnour,Oregon,2003,11,96,96,33.6,4.5,10.5,0.429,2.4,5,0.472,2.1,5.4,0.389,3.5,4.1,0.859,0.4,2.5,3,5.2,1.6,0.1,3.2,2.1,14.6,6.98,,0.588,0.53,0.519,0.387,,,,5.3,35.1,,0.1,20.3,27.1,7.8,3.4,11.2,0.139,,,
Reece Gaines,Louisville,2003,12,125,93,31.6,5.1,11.2,0.452,3.3,6.5,0.502,1.8,4.7,0.383,3.6,4.9,0.75,0.7,2.8,3.4,3.8,1.5,0.2,2.7,2.5,15.6,7.91,,0.577,0.533,0.421,0.435,,,,6,23.4,,0.7,16.4,26.9,10.6,6.1,16.7,0.169,,,
Troy Bell,Boston College,2003,13,122,95,35.7,6.2,14.7,0.424,3.8,8.1,0.467,2.5,6.6,0.372,6.6,7.6,0.868,1.8,2.5,4,3.5,2.2,0.3,2.9,2.3,21.6,5.85,,0.588,0.508,0.45,0.52,,,,,,,,13.6,,15.3,7.6,22.9,0.21,,,
David West,Xavier,2003,14,126,93,33.4,5.8,10.8,0.531,5.6,10.4,0.54,0.1,0.4,0.327,5.3,6.9,0.757,3.2,7.6,10.4,2.1,1.4,1.8,2.5,2.8,16.9,4.18,,0.598,0.538,0.04,0.64,,,,16.3,10.7,,5,15.2,26.8,13.7,18,31.7,0.301,,,
Emeka Okafor,UConn,2004,1,103,103,31.8,5.7,9.7,0.59,5.7,9.7,0.59,0,0,0,2.4,4.3,0.564,3.4,7.2,10.6,0.8,0.9,4.3,2,2.6,13.8,7.61,,0.591,0.59,0,0.449,,,,17.5,4.6,,8.3,14.6,23.5,8.2,14.1,22.3,0.272,,,
Ben Gordon,UConn,2004,2,106,74,31,5.6,12.7,0.44,3.2,7.2,0.452,2.3,5.5,0.423,3.5,4.4,0.795,0.8,3.1,3.9,4.1,1.2,0.2,2.8,2.3,16.9,7.61,,0.574,0.531,0.433,0.346,,,,6.6,24.7,,0.3,16.2,26.7,9.6,6.1,15.7,0.191,,,
Devin Harris,Wisconsin,2004,3,96,96,35,4.6,10.2,0.447,2.6,5,0.522,1.9,5.2,0.375,3.8,4.8,0.778,0.7,3.4,4.1,3.1,1.7,0.4,1.8,2.1,14.8,7.74,,0.593,0.542,0.509,0.474,,,,7.7,28.8,,0.3,12.4,27.6,9.8,7.8,17.6,0.21,,,
Josh Childress,Stanford,2004,4,86,57,28.6,4.5,10.2,0.438,3.3,6.6,0.494,1.2,3.6,0.335,2.2,2.8,0.755,1.9,4.9,6.8,1.8,0.9,1.1,1.7,2.1,12.3,7.25,,0.532,0.497,0.352,0.278,,,,13.4,12.8,,2.7,13.1,22.7,3.9,7.2,11.2,0.182,,,
Luol Deng,Duke,2004,5,37,32,31.1,5.7,11.9,0.476,4.6,8.9,0.515,1.1,3,0.36,2.6,3.7,0.71,2.2,4.7,6.9,1.8,1.3,1.1,2.2,2.2,15.1,10.86,,0.551,0.522,0.252,0.313,,,,12.6,11.8,,2.3,14.1,24.7,2.4,3.2,5.6,0.195,,,
Rafael Araujo,BYU,2004,6,62,62,27.4,5.9,10.4,0.567,5.7,9.8,0.587,0.2,0.7,0.268,3.1,4.5,0.691,2.9,6.6,9.5,1.2,1.4,0.6,2.9,3.4,15.1,5.79,,0.601,0.575,0.063,0.43,,,,21.7,11,,1.8,19,29.6,6.1,4.6,10.6,0.251,,,
Andre Iguodala,Arizona,2004,7,62,34,25.4,3.3,7.8,0.424,2.8,5.9,0.473,0.5,1.9,0.274,2.5,3.3,0.738,2.2,4.4,6.6,3.4,1.5,0.5,2.1,2.2,9.6,7.79,,0.511,0.458,0.242,0.427,,,,13.7,21.1,,1.1,18.5,20.1,1.4,4,5.4,0.137,,,
Luke Jackson,Oregon,2004,8,126,102,29.1,5.1,11.1,0.461,3.7,7.7,0.488,1.4,3.4,0.402,4,4.7,0.849,1.7,4.2,5.9,3.4,1.3,0.3,2.3,1.8,15.6,6.96,,0.586,0.524,0.31,0.426,,,,12,21.1,,0.7,14.9,24.5,10.8,4.9,15.7,0.172,,,
Kris Humphries,Minnesota,2004,9,29,28,34.1,7.6,17.2,0.444,7,15.4,0.455,0.6,1.7,0.34,5.9,7.9,0.742,3.1,7,10.1,0.7,0.9,1.1,2.8,2.2,21.7,5.36,,0.518,0.461,0.1,0.46,,,,17.2,5.1,,2.4,11.9,34.6,1.8,1.7,3.5,0.14,,,
Kirk Snyder,Nevada,2004,10,84,74,30.8,5.7,13.3,0.426,4.4,9.3,0.477,1.3,4.1,0.31,4.1,6,0.677,2.3,4.1,6.4,2.7,0.9,0.8,3.1,2.4,16.7,3.25,,0.516,0.473,0.305,0.454,,,,8.9,12.2,,2.1,16.2,29.5,3.9,6,9.9,0.153,,,
Jameer Nelson,St. Joseph's,2004,11,125,125,34.5,5.6,12.4,0.454,3.8,7.4,0.514,1.8,5,0.365,3.7,4.7,0.786,1,3.6,4.6,5.7,2,0.1,3,2.2,16.8,4.12,,0.573,0.527,0.405,0.377,,,,,,,,17.2,,11.7,8.2,19.9,0.184,,,
Delonte West,St. Joseph's,2004,12,89,56,26.8,5.1,10.3,0.489,3.8,7,0.544,1.3,3.4,0.377,2.5,3,0.831,1,3.2,4.2,3,1.4,0.2,2,1.9,13.9,4,,0.59,0.551,0.326,0.29,,,,,,,,14.4,,7.8,5.1,12.9,0.216,,,
Tony Allen,Oklahoma State,2004,13,67,62,31.4,5.5,11.5,0.477,4.7,9.3,0.508,0.8,2.2,0.347,3.5,5.2,0.682,1.7,3.7,5.5,2.9,2,0.8,2.8,2.9,15.3,7.84,,0.547,0.51,0.195,0.449,,,,9.6,19,,1.7,16.8,26.1,4.6,6.3,10.8,0.206,,,
Kevin Martin,Western Carolina,2004,14,79,77,31.8,7.2,15.5,0.462,4.9,9.1,0.542,2.2,6.4,0.346,6.8,8,0.841,0.9,3.5,4.5,1.7,1.7,0.4,2.9,2.1,23.3,-3.74,,0.602,0.533,0.411,0.519,,,,7.9,10.2,,0.7,13.2,28.3,11.2,2.6,13.7,0.218,,,
Andrew Bogut,Utah,2005,1,68,68,32.7,6.6,10.9,0.603,6.4,10.4,0.616,0.2,0.5,0.361,3.2,4.7,0.674,3.5,7.6,11.1,2.3,0.7,1.6,2.7,2.3,16.6,4.53,,0.629,0.612,0.048,0.429,,,,24.2,18.2,,4.2,17,29.7,9.4,7.7,17.1,0.307,,,
Marvin Williams,UNC,2005,2,36,0,22.2,3.5,6.9,0.506,2.9,5.6,0.522,0.5,1.2,0.432,3.8,4.5,0.847,1.8,4.8,6.6,0.7,1.1,0.5,1.6,2.6,11.3,10.66,,0.627,0.545,0.178,0.66,,,,16,5.4,,1.4,14.7,21.1,2.6,2.1,4.8,0.239,,,
Deron Williams,Illinois,2005,3,101,98,31.7,4,9.4,0.422,2.3,5.1,0.464,1.6,4.3,0.374,1.5,2.1,0.685,0.4,2.9,3.3,5.9,1.1,0.2,2.4,2.2,11,7.44,,0.529,0.508,0.46,0.228,,,,6.3,33.5,,0.5,18.8,21,4.4,6.3,10.7,0.133,,,
Chris Paul,Wake Forest,2005,4,63,62,33.5,4.4,9.3,0.472,3,6.4,0.473,1.4,2.9,0.47,4.9,5.8,0.838,0.7,3.2,3.9,6.3,2.5,0.2,2.7,2.6,15,10.65,,0.622,0.545,0.311,0.62,,,,6.6,32.3,,0.4,18.3,20.6,6.3,3.1,9.4,0.178,,,
Raymond Felton,UNC,2005,5,101,100,33.9,4.1,9.7,0.423,2.4,5.1,0.467,1.7,4.6,0.375,2.6,3.5,0.731,0.7,3.4,4.1,6.9,1.9,0.3,3.6,2.3,12.5,11,,0.55,0.512,0.474,0.361,,,,6.7,35.1,,0.5,24,20.3,5.6,5.7,11.3,0.132,,,
Charlie Villanueva,UConn,2005,6,63,35,22.3,4.3,8.3,0.518,3.9,7.4,0.534,0.4,1,0.393,2.2,3.2,0.681,2.2,4.6,6.7,1,0.4,1.7,1.7,2.2,11.2,7.7,,0.568,0.541,0.116,0.389,,,,14,6.9,,4.9,14.9,22.4,3.5,4.8,8.4,0.238,,,
Channing Frye,Arizona,2005,7,133,119,27.7,5.3,9.5,0.562,5.3,9.3,0.568,0,0.2,0.261,2.8,3.7,0.759,2.8,4.6,7.3,1.3,0.6,1.9,1.4,2.8,13.5,9.02,,0.601,0.565,0.018,0.387,,,,14.4,9.7,,4.7,11.4,21.9,10.3,10.9,21.2,0.23,,,
Ike Diogu,Arizona State,2005,8,91,91,35.1,6.8,11.9,0.571,6.3,10.7,0.591,0.5,1.2,0.387,7.4,9.4,0.786,3.4,5.5,8.8,1.2,0.4,1.7,3.4,2.8,21.4,6.66,,0.655,0.59,0.098,0.791,,,,14.6,9.3,,3.9,17,27.6,15,5.5,20.5,0.257,,,
Sean May,UNC,2005,9,77,75,27.8,5.7,11.2,0.513,5.7,11.1,0.519,0,0.1,0,4.3,6,0.717,3.5,6.5,10,1.5,1.3,1.2,2.4,2.4,15.8,11,,0.562,0.513,0.013,0.532,,,,19.7,10.1,,2.9,14.6,26.7,5.2,7,12.2,0.229,,,
Rashad McCants,UNC,2005,10,98,90,29.2,6.3,12.9,0.486,4,7.4,0.538,2.3,5.4,0.415,2.8,3.8,0.721,1.5,2.6,4.1,2.1,1.5,0.6,2.2,2.4,17.6,11,,0.597,0.574,0.422,0.298,,,,7.6,14.3,,1.4,13.2,26.8,9.9,4.9,14.8,0.207,,,
Antoine Wright,Texas A&M,2005,11,87,83,32.1,5.4,13,0.412,3.3,7.5,0.439,2.1,5.5,0.376,2.6,4,0.648,1.4,4.2,5.6,2.1,1.1,0.6,2.3,2.6,15.4,5.15,,0.516,0.492,0.425,0.303,,,,7.8,16.4,,0.7,13.2,26,3.8,4.6,8.5,0.121,,,
Joey Graham,Oklahoma State,2005,12,128,109,26.1,4.7,8.8,0.527,4.1,7.4,0.557,0.6,1.5,0.378,3.1,3.9,0.809,1.6,3.6,5.2,1.6,0.8,0.3,2.2,2.9,13,1.32,,0.609,0.559,0.166,0.439,,,,12.8,13.5,,0.4,16.9,27.7,11,5.1,16.1,0.193,,,
Danny Granger,New Mexico,2005,13,95,82,28.4,5.6,11.2,0.496,4.7,9,0.529,0.8,2.2,0.366,4.7,6.3,0.753,2.5,5.7,8.2,1.6,1.6,1.9,2.3,3.2,16.7,1.8,,0.587,0.533,0.2,0.561,,,,17.7,17.6,,4.1,13.8,30.8,9.6,8.7,18.3,0.272,,,
Hakim Warrick,Syracuse,2005,14,135,119,31,5.7,10.6,0.536,5.6,10.3,0.544,0.1,0.3,0.25,3.9,5.9,0.659,2.9,4.7,7.6,1.5,1,0.9,2.3,2.4,15.4,7.34,,0.572,0.539,0.028,0.561,,,,12.8,10.4,,2,14.7,25.5,10.8,10,20.9,0.199,,,
Greg Oden,Ohio State,2007,1,32,31,28.9,5.9,9.6,0.616,5.9,9.6,0.616,0,0,0,3.8,6.1,0.628,3.5,6,9.6,0.7,0.6,3.3,2,2.7,15.7,9.03,,0.626,0.616,0,0.638,,,,,,,,13.8,,3.6,4.6,8.2,0.355,,,
Kevin Durant,Texas,2007,2,35,35,35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.404,6,7.3,0.816,3,8.1,11.1,1.3,1.9,1.9,2.8,2,25.8,6.12,,0.587,0.536,0.314,0.396,,,,16.5,8.6,,3.5,11.4,33.2,4.7,4.1,8.8,0.28,,,
Al Horford,Florida,2007,3,109,100,25.7,3.9,6.6,0.586,3.9,6.6,0.589,0,0,0,2.5,4.1,0.619,2.3,5.6,7.9,1.7,0.9,1.7,1.6,2.5,10.3,6.65,,0.601,0.586,0.006,0.613,,,,17,11.6,,4.9,15.6,18.6,7,10,17.1,0.244,,,
Mike Conley,Ohio State,2007,4,39,39,31.6,4.1,7.9,0.518,3.6,6.2,0.579,0.5,1.8,0.304,2.6,3.7,0.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3,9.03,,0.584,0.552,0.223,0.466,,,,,,,,18.6,,2.7,3.4,6.1,0.199,,,
Jeff Green,Georgetown,2007,5,102,102,33.2,4.8,9.7,0.488,3.9,7.3,0.531,0.9,2.4,0.359,2.7,3.9,0.7,2.1,4.4,6.5,3.1,0.9,1.2,2.5,2.5,13.1,7.65,,0.565,0.533,0.249,0.402,,,,12.7,20.8,,2.9,17.8,24.1,7.5,7.2,14.7,0.174,,,
Corey Brewer,Florida,2007,6,108,106,27.2,4,8.2,0.48,3,5.7,0.536,0.9,2.6,0.356,2.5,3.6,0.708,1.3,3,4.3,2.8,1.6,0.4,2.3,2.2,11.3,6.65,,0.571,0.535,0.312,0.431,,,,9.2,19.1,,1.1,19.1,21.6,6.4,6.6,13,0.177,,,
Brandan Wright,UNC,2007,7,37,37,27.4,6.2,9.5,0.646,6.2,9.5,0.646,0,0,0,2.4,4.2,0.567,2.1,4.1,6.2,1,1,1.8,1.6,1.5,14.7,9.3,,0.637,0.646,0,0.445,,,,,,,,12.1,,3.7,4,7.6,0.301,,,
Joakim Noah,Florida,2007,8,108,78,21.1,3.8,6.2,0.616,3.8,6.2,0.617,0,0,0.5,2.9,4.2,0.684,2,4.4,6.4,1.7,0.9,1.7,1.8,2,10.5,6.65,,0.642,0.617,0.003,0.679,,,,16.5,16,,6.4,18,24.2,8.7,9,17.7,0.31,,,
Spencer Hawes,Washington,2007,9,31,24,28.9,6.2,11.7,0.532,6.2,11.6,0.533,0,0.1,0.333,2.4,3.2,0.755,2,4.4,6.4,1.9,0.5,1.7,2.5,2.3,14.9,6.5,,0.563,0.533,0.008,0.27,,,,13.2,14,,4.3,16,25.8,2,2.4,4.4,0.198,,,
Acie Law,Texas A&M,2007,10,122,106,30.8,5,10.6,0.466,4,8,0.502,0.9,2.6,0.357,2.8,3.7,0.76,0.5,2.6,3.1,4.5,1.3,0,2.5,2.6,13.7,4.53,,0.551,0.51,0.246,0.35,,,,5.7,31.8,,0,16.5,25.3,7.9,5.7,13.6,0.145,,,
Thaddeus Young,Georgia Tech,2007,11,31,31,29.6,5.7,11.9,0.478,4.5,8.9,0.498,1.3,3,0.419,1.7,2.3,0.743,2.3,2.5,4.9,2,1.3,0.4,2.2,2,14.4,9.36,,0.552,0.531,0.251,0.189,,,,,,,,14.2,,1.8,1.5,3.3,0.145,,,
Julian Wright,Kansas,2007,12,71,52,24.1,4.4,8,0.555,4.4,7.7,0.565,0,0.2,0.188,1.5,2.5,0.591,2.1,4.2,6.3,2,1.2,1.3,2.2,2.1,10.4,7.23,,0.566,0.557,0.028,0.32,,,,14.5,15.9,,3.8,19.2,22.8,3.7,7.1,10.8,0.252,,,
Al Thornton,Florida State,2007,13,124,69,22,4.4,8.3,0.528,3.9,7.2,0.543,0.5,1.2,0.438,3,4.2,0.701,2.1,3.1,5.2,0.7,0.8,0.6,1.7,2.3,12.3,7.69,,0.593,0.559,0.139,0.505,,,,14.6,7.3,,2,14.4,28.3,8.9,4.6,13.6,0.199,,,
Rodney Stuckey,Eastern Washington,2007,14,59,59,33.1,8.1,17.1,0.472,6.4,11.9,0.54,1.7,5.2,0.317,6.5,8.1,0.806,1.1,3.6,4.7,4.8,2.3,0.3,3.5,2.4,24.4,-1.48,,0.581,0.52,0.306,0.474,,,,8.9,30.7,,0.6,14.2,36.3,7.2,1.1,8.3,0.17,,,
Derrick Rose,Memphis,2008,1,40,39,29.2,5.2,10.9,0.477,4.3,8.3,0.521,0.9,2.6,0.337,3.7,5.1,0.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9,5.76,,0.56,0.517,0.239,0.47,,,,8.3,30.4,,0.9,16.7,26,2.8,3.8,6.6,0.226,,,
Michael Beasley,Kansas State,2008,2,33,33,31.5,9.3,17.5,0.532,8.2,14.6,0.562,1.1,2.9,0.379,6.5,8.5,0.774,4,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,7.79,,0.61,0.563,0.165,0.484,,,,21.3,9.3,,3.7,11.8,35,5.4,5.4,10.7,0.413,,,
O.J. Mayo,USC,2008,3,33,32,36.8,7.2,16.2,0.442,4.5,9.7,0.464,2.7,6.5,0.409,3.7,4.6,0.803,1.1,3.5,4.5,3.3,1.5,0.4,3.5,2.4,20.7,8.59,,0.562,0.524,0.401,0.284,,,,7.4,21.4,,0.7,16.1,31.8,3.4,1.8,5.2,0.172,,,
Russell Westbrook,UCLA,2008,4,75,35,21.9,3.1,6.6,0.464,2.6,5.3,0.491,0.5,1.3,0.354,1.7,2.4,0.685,0.9,1.5,2.4,2.5,1,0.1,1.6,1.7,8.3,8.77,,0.532,0.499,0.2,0.365,,,,7.1,24.4,,0.4,17.2,21.8,2.3,3.9,6.2,0.15,,,
Kevin Love,UCLA,2008,5,39,38,29.6,5.8,10.4,0.559,5.1,8.3,0.611,0.7,2.1,0.354,5.1,6.6,0.767,3.6,7,10.6,1.9,0.7,1.4,2,1.9,17.5,7.71,,0.644,0.595,0.202,0.635,,,,22.1,14.1,,3.6,12.9,27,5.6,5.7,11.3,0.391,,,
Eric Gordon,Indiana,2008,6,32,32,34.7,5.8,13.3,0.433,3.6,6.8,0.525,2.2,6.5,0.337,7.2,8.7,0.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2,20.9,6.08,,0.601,0.515,0.489,0.652,,,,5.5,15.2,,1.3,17.1,30.8,4.2,1.8,6,0.217,,,
Joe Alexander,West Virginia,2008,7,82,70,25.3,4.5,10,0.447,3.9,7.9,0.488,0.6,2.1,0.295,2.5,3.3,0.765,1.5,3.3,4.8,2,0.6,1.2,1.8,2.2,12.1,7.04,,0.522,0.478,0.211,0.326,,,,11.4,16.5,,3.7,13.4,27.6,2.9,6.6,9.5,0.183,,,
D.J. Augustin,Texas,2008,8,73,73,36.5,5.4,12.2,0.443,3.8,8.2,0.463,1.6,4.1,0.402,4.4,5.5,0.808,0.6,2.3,2.9,6.2,1.4,0,3,1.9,16.9,7.35,,0.569,0.51,0.331,0.447,,,,4.2,34.3,,0.2,16.9,20.9,6.2,4.5,10.7,0.161,,,
Brook Lopez,Stanford,2008,9,53,43,28,6.1,12.7,0.48,6.1,12.3,0.491,0.1,0.4,0.143,3.7,4.9,0.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16,8,,0.532,0.482,0.031,0.384,,,,14.6,9.7,,4.9,12.3,31.4,2.9,5,7.9,0.213,,,
Jerryd Bayless,Arizona,2008,10,30,30,35.7,5.8,12.6,0.458,3.8,7.8,0.489,2,4.8,0.407,6.2,7.4,0.839,0.4,2.3,2.7,4,1,0.1,3,2.2,19.7,10.22,,0.612,0.536,0.384,0.59,,,,4.9,25,,0.2,15.5,29.2,4,0.8,4.8,0.178,,,
Jason Thompson,Rider,2008,11,122,112,32.1,6.2,11.8,0.526,6,11,0.544,0.2,0.8,0.291,4,6,0.667,3,6.6,9.6,2,0.9,1.9,2.6,3,16.7,-3.38,,0.569,0.536,0.071,0.511,,,,16.7,14.3,,4,15.1,26.8,9.8,6.9,16.8,0.171,,,
Brandon Rush,Kansas,2008,12,109,101,31.3,4.9,10.9,0.449,3,6.6,0.458,1.9,4.3,0.435,1.8,2.5,0.733,1.5,4,5.5,2,0.7,0.8,2.1,1.5,13.6,7.56,,0.558,0.535,0.395,0.229,,,,9.8,11.3,,1.8,14.8,21.8,6.8,8.1,14.9,0.174,,,
